,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,y
0,0.105809,1.0,5.0662766e-07,0.38830182,0.9218795,-0.025921961,0.63701713,0.8131892,-0.04411913,0.8332873,0.72826713,-0.062444054,1.0,0.6634372,-0.082688294,0.51402587,0.5405249,-0.033291325,0.6898132,0.3637473,-0.06390091,0.80000734,0.2529099,-0.087987855,0.8948228,0.15622021,-0.10446138,0.3609971,0.5005747,-0.042277712,0.4806804,0.26263165,-0.069073685,0.5752251,0.12010882,-0.09060997,0.6558705,0.0,-0.10636187,0.19656657,0.5158684,-0.05478999,0.25345826,0.29362756,-0.08191756,0.3263473,0.16074438,-0.097840235,0.40717527,0.047663413,-0.10843662,0.021279206,0.57284325,-0.06969052,0.0,0.39826956,-0.093757115,0.02737077,0.2920009,-0.102226034,0.07987721,0.19886152,-0.107346594,key_1
1,0.043729197,1.0,5.264671e-07,0.33120468,0.9648984,-0.024393532,0.5971099,0.87648535,-0.041136958,0.8132133,0.805073,-0.057388153,1.0,0.7599394,-0.07486949,0.50324297,0.5630518,-0.03049339,0.699167,0.38298056,-0.056992553,0.8245817,0.27518502,-0.0779383,0.9316251,0.183181,-0.09177289,0.35345337,0.4960735,-0.036254883,0.501765,0.26130036,-0.058345243,0.60511446,0.12215636,-0.07658597,0.68312967,0.004820099,-0.08925311,0.18564153,0.48572242,-0.044965938,0.27700093,0.25631678,-0.065905586,0.3558768,0.115843244,-0.0800716,0.4312806,0.0,-0.08920963,0.0,0.5207055,-0.055875834,0.0006226117,0.33089593,-0.07439618,0.030346353,0.20672339,-0.08157802,0.078212254,0.0995359,-0.085428454,key_1
2,0.0,1.0,5.918107e-07,0.32092547,0.9543905,-0.017220492,0.5889447,0.88091546,-0.029262818,0.8126344,0.8295271,-0.04252408,1.0,0.8081501,-0.056971088,0.5176292,0.57052624,-0.011236603,0.7050117,0.41840288,-0.029357107,0.8167322,0.31761914,-0.046246167,0.9147153,0.22581495,-0.058429834,0.3782112,0.4991346,-0.017800085,0.52900445,0.28861463,-0.03234391,0.6267765,0.16425115,-0.04717065,0.7124439,0.052618086,-0.058296982,0.21715006,0.4781823,-0.027591273,0.31217268,0.26494178,-0.043145623,0.38703275,0.1252805,-0.05578153,0.46502036,0.0,-0.06467416,0.037439745,0.5024729,-0.039277535,0.037543945,0.32109183,-0.053883884,0.055472776,0.19889052,-0.05966842,0.09068188,0.08250354,-0.06307716,key_1
3,0.0,1.0,5.107972e-07,0.30429697,0.9890756,-0.020804478,0.589558,0.91749245,-0.032397464,0.8146326,0.8624881,-0.043819934,1.0,0.8455678,-0.05535447,0.53571934,0.5866027,-0.015723664,0.7305789,0.43224174,-0.03230745,0.8438032,0.33143985,-0.04630202,0.9329582,0.24285564,-0.05647996,0.39077213,0.5040855,-0.019073205,0.557591,0.29630908,-0.033531055,0.65651846,0.17501268,-0.045953844,0.73386174,0.07055638,-0.054877788,0.22437303,0.47301978,-0.025647203,0.32270092,0.25620872,-0.04088659,0.3902028,0.11941464,-0.05168909,0.46070847,0.0,-0.058979716,0.03844415,0.48574576,-0.0344389,0.042152364,0.30769637,-0.048821304,0.055026192,0.18766801,-0.05509382,0.08808436,0.07362665,-0.05872061,key_1
4,0.0,1.0,4.562365e-07,0.30103475,0.99720603,-0.020376343,0.5890775,0.92072994,-0.030416837,0.8182021,0.876156,-0.0401956,1.0,0.8753283,-0.050117567,0.5377561,0.5791818,-0.015084591,0.73012537,0.42328206,-0.02926827,0.8388516,0.32457578,-0.041731287,0.92503446,0.23589364,-0.051168136,0.3909197,0.49427918,-0.01776353,0.5459193,0.2879171,-0.029447697,0.641154,0.16446532,-0.04021419,0.7129531,0.05965336,-0.048451874,0.22435899,0.4631755,-0.023604734,0.30853254,0.24970219,-0.03630821,0.37007865,0.115083866,-0.046505347,0.43242896,0.0,-0.05382274,0.040618476,0.47843233,-0.031751387,0.025378691,0.2984242,-0.044687223,0.026116015,0.17565139,-0.05087532,0.045831405,0.06099507,-0.0547132,key_1
5,0.0012784572,0.9988578,4.3368783e-07,0.302016,1.0,-0.019325295,0.5871262,0.9310078,-0.029038873,0.8163839,0.89332074,-0.038877595,1.0,0.90297514,-0.049018726,0.53720987,0.5843205,-0.013284092,0.72871387,0.42964408,-0.026662186,0.83810776,0.33089027,-0.038317937,0.9217999,0.24313682,-0.04725552,0.3912373,0.49812478,-0.01627116,0.54446304,0.2905378,-0.027387707,0.63479716,0.1666946,-0.03749041,0.6984765,0.06323217,-0.045211557,0.2247057,0.46587825,-0.022386499,0.30318493,0.25256985,-0.034719452,0.35547906,0.1160279,-0.044722717,0.40791762,0.0,-0.051943175,0.042097464,0.4803182,-0.030714402,0.012259682,0.30043846,-0.043418642,0.0,0.1786838,-0.04944859,0.0066943197,0.06552762,-0.05317553,key_1
6,0.023101538,0.9989805,4.140277e-07,0.3172402,1.0,-0.019615946,0.5981706,0.92840993,-0.028935261,0.82240653,0.8904755,-0.03837609,1.0,0.9038372,-0.048161443,0.5461423,0.5852727,-0.013708854,0.7337295,0.429704,-0.02632322,0.84147036,0.33287936,-0.03729191,0.9258208,0.2443367,-0.04591046,0.40092787,0.4979612,-0.01628897,0.5446652,0.29228002,-0.026736196,0.6294657,0.16783296,-0.03597313,0.6901496,0.06176998,-0.043342054,0.23799239,0.46536013,-0.022055218,0.31167802,0.25281173,-0.03372314,0.36123008,0.117106855,-0.0432405,0.4126854,0.0,-0.050396744,0.05878535,0.47933528,-0.030173551,0.018439084,0.29775727,-0.04253321,0.0,0.17465447,-0.048587393,0.0013237734,0.060072605,-0.05257084,key_1
7,0.037659954,0.99341595,4.229618e-07,0.3256743,1.0,-0.020483278,0.6039895,0.93504584,-0.030402131,0.82320017,0.90333307,-0.04030053,1.0,0.9238527,-0.05046785,0.5566133,0.5886507,-0.015049203,0.74314344,0.43718758,-0.028061008,0.8518158,0.34095886,-0.03899853,0.93777907,0.2537895,-0.047531143,0.4129153,0.4973558,-0.017201487,0.55416054,0.29248005,-0.028059745,0.638226,0.17044625,-0.037098736,0.7008876,0.06807036,-0.044276085,0.2496645,0.46266493,-0.022586696,0.31852642,0.24841386,-0.03481028,0.36492234,0.11411886,-0.04444835,0.4154326,0.0,-0.05153546,0.07058178,0.4763143,-0.030369878,0.025474371,0.29242218,-0.043040954,0.0029598873,0.1672611,-0.049307372,0.0,0.05112208,-0.053400602,key_1
8,0.043334883,0.98698187,4.1498387e-07,0.32509378,1.0,-0.0205699,0.6053323,0.9513634,-0.031826295,0.8243327,0.9293046,-0.043228094,1.0,0.9587904,-0.055203363,0.56674325,0.5962924,-0.017982304,0.7610468,0.44819754,-0.032545403,0.87454474,0.35426039,-0.04462208,0.96733046,0.26769018,-0.053899597,0.4237368,0.50229585,-0.020936858,0.57066625,0.29374754,-0.033041496,0.65863794,0.17150894,-0.04326713,0.7267642,0.06648309,-0.051536825,0.26017976,0.46419838,-0.026931245,0.33161354,0.24953167,-0.040207293,0.38087323,0.1149749,-0.050999593,0.43366906,0.0,-0.059039902,0.080383986,0.4741621,-0.03525002,0.03425868,0.2871724,-0.048601132,0.008251419,0.1613512,-0.055365738,0.0,0.04363861,-0.05999707,key_1
9,0.058127247,0.9808635,3.9962842e-07,0.33493823,1.0,-0.020637786,0.6127765,0.95632726,-0.032370515,0.8324993,0.9422412,-0.044230036,1.0,0.9791271,-0.05686963,0.5842606,0.6016077,-0.0197439,0.7772282,0.45691916,-0.034839515,0.8944808,0.36839372,-0.047318988,0.9940354,0.28662848,-0.056950983,0.4424744,0.5062323,-0.0229866,0.5921479,0.30046278,-0.03531646,0.681178,0.18191966,-0.04566047,0.7510532,0.08083457,-0.05414653,0.27812663,0.46779478,-0.029208563,0.355276,0.25233582,-0.043129347,0.40592492,0.115871355,-0.05463558,0.45918903,0.0,-0.063226566,0.09782005,0.47884676,-0.03765215,0.04612506,0.2882593,-0.051994856,0.0136983795,0.1605836,-0.059618473,0.0,0.040439986,-0.064912334,key_1
